P:Project Key (Charge Code or PACE ID),P:PTN Number,S:FA Number,S:USID,S:Site Name,P:PACE Job Number,S:Address Line 1,S:Address Line 2,S:City,S:State,S:ZIP,S:Latitude,S:Longitude
521517-S00663,3551A0Y6ME,10086599,15194.00,10 FWY WASHINGTON,MRLOS078117,79370 Varner Rd,,Indio,CA,92202,33.75444440,-116.27916670
507406-6968,3551A0T45J,10086550,12341.00,10 FWY/ETIWANDA OVLY,MRLOS070653,"9320 A HYSSOP STREET,SUITE A",,RANCHO CUCAMONGA,CA,91730,34.08472000,-117.54278000
521517-S00591,3551A0Y6SX,10086691,26373.00,101 FWY/ LOST HILLS RD,MRLOS078289,27001 AGOURA ROAD,,Calabasas,CA,91301,34.13866670,-118.71361110
507406-6922,3551A0T48F,10086039,11844.00,101 FWY/405 FWY,MRLOS070638,15385 WEDDINGTON STREET,,LOS ANGELES,CA,90007,34.16694000,-118.46778000
521517-S00419,3551A0Y6G5,10085687,11729.00,101/VERMONT OVLY - C057,MRLOS078320,340 1/2 NORTH MADISON AVENUE,,LOS ANGELES,CA,90004,34.07750000,-118.28805600
521517-S00542,3551A0Y6Y4,10086741,26355.00,14 FWY AND AVE J,MRLOS078378,2103 WEST AVENUE J,,LANCASTER,CA,93536,34.69050000,-118.16822220
521517-S00389,3551A0W28T,10086681,24315.00,185TH STE AND E AVENUE,MRLOS078761,185TH STREET EAST AND AVENUE EAST,,LANCASTER,CA,93534,34.76000000,-117.79950000
521517-S00657,3551A0Y6PZ,10127712,102313.00,230 NORTH MARYLAND AVENUE,MRLOS078445,230 NORTH MARYLAND AVENUE,,GLENDALE,CA,91206,34.14938890,-118.25350000
521517-S00491,3551A0Y6SL,10087339,25638.00,3RD - W57TH,MRLOS078645,2801 WEST 54TH STREET,,LOS ANGELES,CA,90043,33.99336110,-118.32366670
521517-S00169,3551A0Y5QP,10086993,26356.00,5 FWY / LA PAZ,MRLOS078680,25205 LAPAZ ROAD,,LAGUNA HILLS,CA,92653,33.59820000,-117.67864000
507406-6926,3551A0T4MJ,10086065,11818.00,5/170 FWY,MRLOS070719,9388 REMICK AVENUE,,ARLETA,CA,91331,34.24000000,-118.41250000
521517-S00114,3551A0Y6X7,10086603,12372.00,91 FWY LINCOLN,MRLOS078124,210 SOUTH LINCOLN AVENUE,,CORONA,CA,92882,33.88104720,-117.58323060
521517-S00559,3551A0Y6VV,11585753,133842.00,ALBERTSONS CENTER,MRLOS078535,6023 COFFEE ROAD,,BAKERSFIELD,CA,93308,35.41354170,-119.09431390
521517-S00270,3551A0Y6SH,10087096,12453.00,ALICIA/MARGUARITE,MRLOS078227,23120 ALICIA PARKWAY,,MISSION VIEJO,CA,92692,33.62750000,-117.64944440
507406-7834,3551A0T400,10105346,88232.00,ALMOND STREET,MRLOS070890,"8043 ALMOND STREET,",,RANCHO CUCAMONGA,CA,91737,34.16161000,-117.63134000
521517-S00608,3551A0Y6QN,10085816,12136.00,Arcadia,MRLOS078530,35 West Huntington Drive,,Arcadia,CA,91007,34.14044440,-118.03308330
521517-S00635,3551A0Y6KZ,10101531,48303.00,Arringdales Auto,MRLOS078682,11981 I AVENUE,,,CA,,34.46750000,-117.27611000
521517-S00223,3551A0Y6EZ,10086819,9554.00,BAKERSFIELD,MRLOS078449,REMOTE SITE LOCATION TWO,,TAFT,CA,93268,35.27000000,-119.42138890
521517-S00564,3551A0Y5YY,10101424,46127.00,BALDWIN/DUARTE ROAD / T022,MRLOS078578,650 WEST DUARTE ROAD,,ARCADIA,CA,91007,34.12611110,-118.05305560
521517-S00518,3551A0Y60N,10150448,138812.00,BEVERLY AND ROBINSON,MRLOS078171,3215 WEST BEVERLY BOULEVARD,,LOS ANGELES,CA,90034,34.07262200,-118.28359900
521517-S00187,3551A0Y601,13708264,170446.00,BIG HORN,MRLOS078737,255 PALOWET DRIVE,,PALM DESERT,CA,92260,33.67883900,-116.40904300
521517-S00310,3551A0Y6K8,10103680,47886.00,BK0349-01 MEMORIAL HOSPITAL,MRLOS078327,420 34TH STREET,,BAKERSFIELD,CA,93301,35.39194440,-119.00750000
521517-S00138,3551A0Y5Y2,10150472,124284.00,BK0361- 02 KB FARMS,MRLOS078224,7301 COTTONWOOD ROAD,,BAKERSFIELD,CA,93307,35.29173610,-118.97902780
521517-S00470,3551A0Y62F,10150422,123120.00,BK0363 -01 NILES FIREWOOD,MRLOS078683,8 FAIRFAX ROAD,,BAKERSFIELD,CA,93307,35.35488060,-118.93063060
521517-S00077,3551A0Y602,10150423,123236.00,BK0364-01 WESLEY UNITED CHURCH,MRLOS078691,1314 OSWELL STREET,,BAKERSFIELD,CA,93306,35.37699720,-118.95049720
521517-S00336,3551A0Y6FD,10150533,122911.00,BK0365 - ATC TOWER COLLOCATION,MRLOS078248,7980 ALLEN ROAD,,BAKERSFIELD,CA,93314,35.43225830,-119.14388330
521517-S00437,3551A0Y5T9,10150424,122957.00,BK0368 - 01 LAURLEGLEN BIBLE CHURCH,MRLOS078697,2801 ASHE ROAD,,BAKERSFIELD,CA,93309,35.33001390,-119.07491670
521517-S00446,3551A0Y627,10150425,122964.00,BK0369 - HOWARD'S MINI MART,MRLOS078706,4201 BELLE TERRACE,,BAKERSFIELD,CA,93309,35.34648060,-119.04892780
521517-S00023,3551A0Y688,10150476,123235.00,BK0374-01 AERA PARK,MRLOS078240,12001 STOCKDALE HIGHWAY,,BAKERSFIELD,CA,93314,35.35519440,-119.13546940
