FA #,SITE NAME,Subbed for Review,Approved,City  ,County,Address 1,Address 2,APN (Estimated from FN),,Previous Permit Documents,SLA/MLA/LDS,Title/Survey,,Landowner/LL,LL Address,LL Contact,LL Phone,Tower Owner (If Different),Tower Owner Contact Info (If Different),,Zoning JDX,Zoning JDX Contact,Title,Phone Number,Permit Process
11585724,CLU6116,4/14/21,4/16/21,CANOGA PARK,LOS ANGELES,21500 NORDHOFF STREET,"CANOGA PARK, CA 91304",2779-018-020,,Yes - LABDS permit,"Yes, SLA & LDS","Yes, but didnt upload to OV yet",,Butler Enterprises,"3807 Weatherly Cir, Westlake Village, CA 91361",Frank Butler,(818) 889-0330,AT&T ,,,City of LA,Antonio Isaia,Planner,(213) 376-9859,
10085795,C224/GLENDALE II OVLY - C224,4/19/21,4/19/21,GLENDALE,LOS ANGELES,827 AIR WAY,"GLENDALE, CA 91201",5627-025-905,,Yes - City of Glendale permit,"Yes, SLA & LDS",No,,City of Glendale,"141 N GLENDALE AVE , GLENDALE, CA 91206-4975",,,,,,City of Glendale,Joseline Castaneda,Planner,(818) 548-3200,
10115646,NL0349-01 SOCIAL SEC. and BOARD OF BARBERING,4/19/21,4/21/21,GLENDALE,LOS ANGELES,710 SOUTH CENTRAL AVENUE,"GLENDALE, CA 91204",,,Yes - City of Glendale permit,,,,"South Central Partnership, LLC","441 North Central Avenue, #600, Glendale, CA, 91203",VAHE HOVSEPIAN,(818)247-2340,AT&T ,,,City of Glendale,Joseline Castaneda,Planner,(818) 548-3200,
10101694,I-5 FWY/ I-405 FWY INTERCHANGE,4/20/21,4/21/21,GRANADA HILLS,LOS ANGELES,12000 NORTH BLUCHER AVENUE,"GRANADA HILLS, CA 91344",2605-001-003,,,,Yes - Title,,JAVIER PEREZ,,,,,,,City of LA,Antonio Isaia,Planner,(213) 376-9859,
10086691,101 FWY/ LOST HILLS RD,4/22/21,4/23/21,CALABASAS,LOS ANGELES,27001 AGOURA ROAD,"Calabasas, CA 91301",2064-004-066,,,,,,LOST HILLS OFFICE PARTNERS,"26901 AGOURA RD STE 180 , AGOURA HILLS, CA 91301-5120",Lesilie Halili ,leslieh@midvalley.com / 818-676-3307,,,,City of Calabasas,,,,
10100552,LA0421-02 MULHOLLAND and PARKSOUTH,4/22/21,4/26/21,CALABASAS,LOS ANGELES,23709 MULHOLLAND HIGHWAY,"CALABASAS, CA 91302",,,Yes - City of Calabasas,,,,,,,,,,,City of Calabasas,,,,
10087193,ROSCOE and SHOUP,4/22/21,4/22/21,CANOGA PARK,LOS ANGELES,22110 ROSCOE BOULEVARD,"CANOGA PARK, CA 91304",,,,,,,,,,,,,,City of LA,Antonio Isaia,Planner,(213) 376-9859,
10103968,NL0170-01 O'NEAL AZONIC,4/22/21,4/27/21,CHATSWORTH,LOS ANGELES,9600 TOPANGA CANYON,"CHATSWORTH, CA 91311",,,,,,,,,,,,,,City of LA,Antonio Isaia,Planner,(213) 376-9859,
10086762,LAC507-01 FWY/134 FWY OVLY - C507,4/22/21,4/23/21,GLENDALE,LOS ANGELES,300 3/4 HARVEY DRIVE,"Glendale, CA 91206",,,Yes- City of LA Zoning Permit,,,,,,,,,,,TBD (Not City of LA),,,,
10068746,NL0062 (ORANGE LA640) DOCTORS MEDICAL PLAZA,4/22/21,4/22/21,GRANADA HILLS,LOS ANGELES,10515 BALBOA BOULEVARD,"GRANADA HILLS, CA 91344",,,,,,,,,,,,,,City of LA,Antonio Isaia,Planner,(213) 376-9859,
10086922,VENTURA HOSPITAL,4/23/21,4/26/21,VENTURA,LOS ANGELES,147 NORTH BRENT,"Ventura, CA 93003",077-0-011-250,,,,,,COMMUNITY MEM HEALTH SYS,,,,,,,Ventura County?,,,,
10086005,WHITE OAK AND 101 FWY,4/23/21,4/23/21,ENCINO,LOS ANGELES,17600 BURBANK BOULEVARD,"ENCINO, CA 91316",,,,,,,,,,,,,,City of LA,Antonio Isaia,Planner,(213) 376-9859,
10087225,N FIGUEROA & MERIDIAN,4/23/21,4/23/21,HIGHLAND PARK,LOS ANGELES,5753 HUNTINGTON DRIVE,"Highland park, CA 90032",,,,,,,,,,,,,,City of LA,Antonio Isaia,Planner,(213) 376-9859,
10101401,LA0307-02 FALLBROOK2,4/23/21,4/27/21,WEST HILLS,LOS ANGELES,8501 NORTH FALLBROOK AVENUE,"WEST HILLS, CA 91304",,,,,,,,,,,,,,City of LA,Antonio Isaia,Planner,(213) 376-9859,
10127629,SV0162-01 ALTADENA GOLF COURSE,4/27/21,4/28/21,ALTADENA,LOS ANGELES,1456 EAST MENDOCINO STREET,"ALTADENA, CA 91001",5847-023-900,,,,,,L A COUNTY,"	500 W TEMPLE ST STE 754 , LOS ANGELES, CA 90012-2700",,,,,,LA County,Anthony Curzi,Zoning Plan Check,acurzi@planning.lacounty.gov,
10086075,BUENA VISTA,5/3/21,5/3/21,BURBANK,LOS ANGELES,2501 BURBANK BOULEVARD,"BURBANK, CA 91505",2438-009-031,,,,,,BURBANK OFFICE BUILDING LLC,"530 N KENWOOD ST APT 1 , GLENDALE, CA 91206-3263",,,,,,City of Burbank,,,,
10150402,NL0473-01 SCHROEDER RACING,5/3/21,5/3/21,BURBANK,LOS ANGELES,2080 FLOYD STREET,"BURBANK, CA 91504",2464-016-039,,,,,,SCHROEDER GARY AND KAREN L TRS; GARY AND KAREN SCHROEDER TRUST,"158 W VERDUGO AVE , BURBANK, CA 91502-2132",,,,,,City of Burbank,,,,
10086064,TOLUCA LAKE,5/3/21,5/4/21,BURBANK,LOS ANGELES,3601 WEST ALAMEDA,"BURBANK, CA 91505",,,,,,,,,,,,,,City of Burbank,,,,
10086707,GILMORE,5/4/21,5/4/21,WOODLAND HILLS,RIVERSIDE,6355 TOPANGA CANYON BOULEVARD,"WOODLAND HILLS, CA 91367",2146-001-018,,,,,,TOPANGA AND VICTORY PARTNERS L P,"6355 TOPANGA CANYON BLVD STE 335 , WOODLAND HILLS, CA 91367-2234",,,,,,Riverside County,Dianna Ross,Regional Office Manager,951-955-6574,
10086004,SHERMAN WAY TOPANGA,5/4/21,5/4/21,CANOGA PARK,LOS ANGELES,22030 SHERMAN WAY,"CANOGA PARK, CA 91303",2024-001-023,,,,,,VEDRES FRANK A TR; VEDRES FAMILY INVESTMENT LP,"4611 ROMA CT , MARINA DEL REY, CA 90292-7705",Thomas and Rochelle Vedres,,,,,City of LA,Antonio Isaia,Planner,(213) 376-9859,
10086063,ENCINO,5/4/21,5/4/21,ENCINO,LOS ANGELES,16861 VENTURA BOULEVARD,"ENCINO, CA 91436",,,,,,,,,,,,,,City of LA,Antonio Isaia,Planner,(213) 376-9859,
10086652,S. GLENDORA AND E. VINE,5/4/21,5/4/21,WEST COVINA,LOS ANGELES,551 EAST VINE STREET,"WEST COVINA, CA 91790",,,,,,,,,,,,,,LA County,,,,
10086070,C243/WEST TARZANA OVLY - C243,5/4/21,5/4/21,WOODLAND HILLS,LOS ANGELES,20631 VENTURA BOULEVARD,"WOODLAND HILLS, CA 91364",,,,,,,,,,,,,,LA County,,,,
10068750,NL-068-01(LA-670) STEVENSON BLDG,5/13/21,5/14/21,GLENDALE,LOS ANGELES,1031 NORTH BRAND BOULEVARD,"GLENDALE, CA 91202",5644-012-024,,,,,,1031 N BRAND BOULEVARD GLENDALE LLC,"1025 N BRAND BLVD , GLENDALE, CA 91202-2950",,,,,,City of Glendale,Bradley Calvert,Assistant Director of Community Development,818-548-2115,
10087306,I-5 and 134 FWY,5/13/21,5/13/21,GLENDALE,LOS ANGELES,701 SONORA AVENUE,"GLENDALE, CA 91201",5627-007-017,,,,,,"VACHAGHAN AND NORA ASLANIAN FAMILY T, ; ASLANIAN, VACHGHAN","701 SONORA AVE , GLENDALE, CA 91201-2431",,,,,,City of Glendale,Bradley Calvert,Assistant Director of Community Development,818-548-2115,
10127712,230 NORTH MARYLAND AVENUE,5/13/21,5/13/21,GLENDALE,LOS ANGELES,230 NORTH MARYLAND AVENUE,"GLENDALE, CA 91206",,,,,,,,,,,,,,City of Glendale,Bradley Calvert,Assistant Director of Community Development,818-548-2115,
10087223,N CENTRAL and SALEM,5/13/21,5/14/21,GLENDALE,LOS ANGELES,229 CENTRAL AVENUE,"GLENDALE, CA 91202",,,,,,,,,,,,,,City of Glendale,Bradley Calvert,Assistant Director of Community Development,818-548-2115,
10068713,NL0117 (ORANGE VY090) PALLARES PROPERTY,5/13/21,5/14/21,GLENDALE,LOS ANGELES,1416 WEST KENNETH ROAD,"GLENDALE, CA 91201",,,,,,,,,,,,,,City of Glendale,Bradley Calvert,Assistant Director of Community Development,818-548-2115,
10085764,HWY 60/PHILLIPS RANCH 1,5/18/21,5/19/21,DIAMOND BAR,LOS ANGELES,24142 SYLVAN GLEN ROAD,"DIAMOND BAR, CA 91765",8704-048-017,,,,,,CAO KEITH,"223 N NICHOLSON AVE APT B , MONTEREY PARK, CA 91755-1845",,,,,,City of Diamond Bar,,,,
10101632,DIAMOND BAR,5/18/21,5/19/21,DIAMOND BAR,LOS ANGELES,1155 DIAMOND BAR BOULEVARD,"DIAMOND BAR, CA 91765",8717-031-010,,,,,,DIAMOND BAR TOWN CENTER LLC,"1155 S DIAMOND BAR BLVD , DIAMOND BAR, CA 91765-2240",,,,,,City of Diamond Bar,,,,
10085899,CULVER CITY WEST,5/18/21,5/18/21,CULVER CITY,LOS ANGELES,5995 SOUTH SEPULVEDA,"CULVER CITY, CA 90230",,,,,,,,,,,,,,Culver City,,,,
10068048,EL0096-01(SM-469) FECHO BLDG,5/18/21,5/18/21,CULVER CITY,LOS ANGELES,12655 WASHINGTON PLACE,"CULVER CITY, CA 90230",,,,,,,,,,,,,,Culver City,,,,
10085756,POMONA FWY/ORAN OVLY - C543,5/20/21,5/20/21,DIAMOND BAR,LOS ANGELES,21725 EAST GATEWAY DRIVE,"DIAMOND BAR, CA 91765",,,,,,,,,,,,,,LA County,,,,
10104108,LA0615-03 GLADSTONE PARK,5/20/21,5/20/21,GLENDORA,LOS ANGELES,610 EAST GLADSTONE STREET,"GLENDORA, CA 91740",,,,,,,,,,,,,,LA County,,,,
10106071,LA0679-06 GLENDORA LITTLE LEAGUE,5/20/21,5/20/21,GLENDORA,LOS ANGELES,1025 EAST SIERRA MADRE AVENUE,"GLENDORA, CA 91741",,,,,,,,,,,,,,LA County,,,,
10086735,IMPERIAL AND AVIATION,5/21/21,5/25/21,EL SEGUNDO,LOS ANGELES,2310 IMPERIAL HIGHWAY,"EL SEGUNDO, CA 90245",,,,,,,,,,,,,,City of El Segundo,,,,
12992945,NL0515-01 EL SEGUNDO BOULEVARD/LOMITA ST,5/21/21,5/25/21,EL SEGUNDO,LOS ANGELES,400 LOMITA STREET DUP,"EL SEGUNDO, CA 90245",,,,,,,,,,,,,,City of El Segundo,,,,
10151248,LA0127,5/25/21,5/25/21,HAWTHORNE,LOS ANGELES,5250 WEST EL SEGUNDO BOULEVARD,"HAWTHORNE, CA 90250",4145-001-010,,,,,,401 SOUTH HOOVER PROPERTY INC; NEW HAMPSHIRE APARTMENT INC,,,,,,,City of Hawthorne,,,,
10087249,W. ARROW HWY. AND BARRANCA AVE,5/25/21,5/25/21,GLENDORA,LOS ANGELES,444 C WEST CARTER DRIVE,"GLENDORA, CA 91740",8643-004-059,,,,,,CARTER DRIVE PROPERTIES LLC,,,,,,,City of Glendora,,,,
10068074,SV0046-91 (VY129) 280 MACHLIN CT. MONOPOLE,5/25/21,5/25/21,CITY OF INDUSTRY,LOS ANGELES,280 1/2 MACHLIN COURT,"CITY OF INDUSTRY, CA 91789",8719-004-012,,,,,,F AND C REAL ESTATE LLC,"280 MACHLIN CT , WALNUT, CA 91789-3026",,,,,,City of Industry,,,,
10087304,N SUNFLOWER and E ARROW,5/25/21,5/25/21,COVINA,LOS ANGELES,21008 EAST ARROW HIGHWAY,"COVINA, CA 91724",8401-019-036,,,,,,HERNANDEZ DAVID AND GLORIA TRS; HERNANDEZ FAMILY TRUST,"13744 BEACONSFIELD LN , EASTVALE, CA 92880-8816",HERNANDEZ DAVID AND GLORIA TRS; HERNANDEZ FAMILY TRUST,,,,,LA County,,,,
10085943,MANHATTAN BEACH,5/25/21,5/25/21,INGLEWOOD,LOS ANGELES,11222 LA CIENEGA,"INGLEWOOD, CA 90304",4039-004-018,,,,,,LA CIENEGA PARTNERS LLC,,,,,,,LA County,,,,
10112623,SV0088-05 HARLEY DAVISON,5/25/21,5/25/21,BALDWIN PARK,LOS ANGELES,1919 PUENTE AVENUE,"BALDWIN PARK, CA 91706",8558-033-005,,,,,,LAIDLAW B P REALTY ASSOCIATES,,Walter Robert LaidLaw and Brent Spencer laidlaw,,,,,City of Baldwin Park,,,,
10094614,LA0234-07 WONG'S CUPOLA,5/25/21,5/25/21,AZUSA,LOS ANGELES,900 EAST ALOSTA AVENUE,"AZUSA, CA 91702",8628-004-166,,,,,,"UNIVERSITY PROMENADE GRF3 LLC,",,,,,,,City of Commerce,,,,
